estrato,horas
18-29,15.29123264804412
18-29,17.90593497159867
18-29,12.893840718367944
18-29,14.017013560206696
18-29,13.823675540603528
18-29,10.609455155603644
18-29,15.888360831193728
18-29,15.783165816539668
18-29,15.015340369927383
18-29,14.29623859987456
18-29,10.753887773848756
18-29,13.738064031703923
18-29,13.971856450419692
18-29,12.593168192335144
18-29,14.516142865001973
18-29,16.212152570443614
18-29,20.65855770363159
18-29,15.523733438495517
18-29,15.772651172168294
18-29,14.776662252701499
18-29,9.243686354102875
18-29,14.92045837365235
18-29,15.18069062982308
18-29,22.38972633745586
18-29,14.422917105656632
18-29,15.904642027000838
18-29,14.89586469088427
18-29,11.493965887141403
18-29,18.42846844354506
18-29,17.255799098060322
30-49,15.164127788172188
30-49,8.362450180821044
30-49,17.611177243744397
30-49,6.3925957488308764
30-49,14.347428375201082
30-49,20.761822503239912
30-49,8.037854699477247
30-49,9.734809081588912
30-49,12.398605460350565
30-49,9.986097383535203
30-49,5.797346275735469
30-49,12.27425189922411
30-49,7.7507851450955805
30-49,13.894369722540727
30-49,8.322303063064787
30-49,18.19973762007016
30-49,8.866986830655051
30-49,10.711753935177297
30-49,15.25406886947868
30-49,7.076542734264179
30-49,12.909839738416517
30-49,17.228571017129713
30-49,5.57006706175509
30-49,12.738535434129217
30-49,13.039531176993695
30-49,15.127291487109241
30-49,7.052197156487672
30-49,6.718173547662895
30-49,14.087766262467591
30-49,13.187938692932745
50+,8.500985700691754
50+,8.692896418993952
50+,6.639950556843019
50+,8.464507394322007
50+,8.586144946597363
50+,6.571297163947264
50+,11.731549022289514
50+,8.947665841823575
50+,5.617393005594703
50+,9.31310721726766
50+,6.050636659545357
50+,9.574169207484903
50+,10.317191158014808
50+,6.358635363296579
50+,9.926752258488644
50+,8.825561853872996
50+,9.64412031998898
50+,11.793585965307894
50+,7.509223767994259
50+,6.492527671285021
50+,6.220971140748953
50+,6.368379430069123
50+,7.845796581171792
50+,8.682303949633289
50+,8.553381598660039
50+,9.654366498072047
50+,8.026003783755813
50+,10.907068154314633
50+,7.470686333524088
50+,13.440338333179238
